work_id,topic_id,topic_name
https://openalex.org/W4388681907,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4388681907,https://openalex.org/T10894,Groundwater flow and contamination studies
https://openalex.org/W4386851366,https://openalex.org/T11302,CO2 Sequestration and Geologic Interactions
https://openalex.org/W4386851366,https://openalex.org/T10161,Rock Mechanics and Modeling
https://openalex.org/W4386851366,https://openalex.org/T11284,Coal Properties and Utilization
https://openalex.org/W4400321432,https://openalex.org/T11302,CO2 Sequestration and Geologic Interactions
https://openalex.org/W4400321432,https://openalex.org/T10001,Geological and Geochemical Analysis
https://openalex.org/W4400321432,https://openalex.org/T10413,High-pressure geophysics and materials
https://openalex.org/W4399171328,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4399171328,https://openalex.org/T11630,Petroleum Processing and Analysis
https://openalex.org/W4399171328,https://openalex.org/T10491,Enhanced Oil Recovery Techniques
https://openalex.org/W4405930152,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4405930152,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W4405930152,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4376644772,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4376644772,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W4376644772,https://openalex.org/T10271,Seismic Imaging and Inversion Techniques
https://openalex.org/W4411239392,https://openalex.org/T11302,CO2 Sequestration and Geologic Interactions
https://openalex.org/W4411239392,https://openalex.org/T10995,Methane Hydrates and Related Phenomena
https://openalex.org/W4411239392,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4387098633,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4387098633,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W4387098633,https://openalex.org/T10271,Seismic Imaging and Inversion Techniques
https://openalex.org/W4408574354,https://openalex.org/T11302,CO2 Sequestration and Geologic Interactions
https://openalex.org/W4408574354,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4408574354,https://openalex.org/T10995,Methane Hydrates and Related Phenomena
https://openalex.org/W4200553882,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4200553882,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W4200553882,https://openalex.org/T10161,Rock Mechanics and Modeling
https://openalex.org/W3034842170,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3034842170,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W3034842170,https://openalex.org/T11801,Reservoir Engineering and Simulation Methods
https://openalex.org/W3106662549,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W3106662549,https://openalex.org/T11588,Atmospheric and Environmental Gas Dynamics
https://openalex.org/W3106662549,https://openalex.org/T10995,Methane Hydrates and Related Phenomena
https://openalex.org/W3124849538,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3124849538,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W3124849538,https://openalex.org/T10894,Groundwater flow and contamination studies
https://openalex.org/W4206655086,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W4206655086,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4206655086,https://openalex.org/T10271,Seismic Imaging and Inversion Techniques
https://openalex.org/W2972520123,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W2972520123,https://openalex.org/T11801,Reservoir Engineering and Simulation Methods
https://openalex.org/W2972520123,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W3160209675,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3160209675,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W3160209675,https://openalex.org/T13050,Oil and Gas Production Techniques
https://openalex.org/W3164269048,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3164269048,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W3164269048,https://openalex.org/T11801,Reservoir Engineering and Simulation Methods
https://openalex.org/W3086251219,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3086251219,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W3086251219,https://openalex.org/T10894,Groundwater flow and contamination studies
https://openalex.org/W3093024954,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
